Question,Type,Options,Answer
"How many years' experience do you have as a Chemical Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Water and Waste Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Information Technology Security Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Information Technology Support Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Microsoft 365 Administrator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Information Technology Business Analyst?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have in a Quality Control Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai Tenaga Ahli Teknik Sipil?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Product Design Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Assembly Technician?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Production Technician?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai insinyur mesin?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Procurement Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Data Analytics Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an electrical engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an operations manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a High Voltage Electrical Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Product Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu di Industri konstruksi?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as an AWS Data Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have in an Engineering Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai analis sistem?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as an account executive?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an information technology manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have with change management?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of Analyst experience do you currently have?","text","","0"
"How many years of Business Consulting and Services experience do you currently have?","text","","0"
"How many years of work experience do you have with Data Analysis?","text","","0"
"Are you able to work from the office at this job’s location?Are you able to work from the office at this job’s location?","dropdown","Yes | No","Yes"
"Have you used AI coding tools (e.g., Cursor, Claude, Copilot) as part of your regular development workflow?Have you used AI coding tools (e.g., Cursor, Claude, Copilot) as part of your regular development workflow?","dropdown","Yes | No","No"
"Are you comfortable working directly with clients or end users to understand their problems and requirements?Are you comfortable working directly with clients or end users to understand their problems and requirements?","dropdown","Yes | No","Yes"
"What is your current monthly salary?","text","","Tidak disebutkan"
"When is your earliest available start date? (Answer in DD.MM format, example 01.09)","text","","Tidak disebutkan"
"Please provide your current monthly salary in gross (IDR)","text","","Tidak disebutkan"
"Please provide your expected monthly gross salary (in IDR)","text","","4500000"
"How long is your notice period?","text","","Immediately"
"How many years of Backend Engineer experience do you currently have?","text","","1"
"Posisi ini 100% offline dan tidak ada opsi WFH(Work From Home). Apakah anda bersedia datang ke kantor kami di Kelapa Gading, atau kantor customer kami jika anda mendapatkan tugas?Posisi ini 100% offline dan tidak ada opsi WFH(Work From Home). Apakah anda bersedia datang ke kantor kami di Kelapa Gading, atau kantor customer kami jika anda mendapatkan tugas?","dropdown","Yes | No","No"
"Apakah memiliki kendaraan pribadi(mobil/motor) dan SIM?Apakah memiliki kendaraan pribadi(mobil/motor) dan SIM?","dropdown","Yes | No","No"
"Apakah sudah lulus S1 dengan bidang IT atau sejajar?Apakah sudah lulus S1 dengan bidang IT atau sejajar?","dropdown","Yes | No","No"
"Salary expectation in IDR","text","","4500000"
"This position is a full-time onsite role based at Arista Group Head Office (Jakarta). Are you comfortable with this work location?This position is a full-time onsite role based at Arista Group Head Office (Jakarta). Are you comfortable with this work location?","dropdown","Yes | No","No"
"How many years of work experience do you have in Backend Development, System Integration, or Technical R&D roles?How many years of work experience do you have in Backend Development, System Integration, or Technical R&D roles?","dropdown","Yes | No","Yes"
"Do you have hands-on experience using PHP/Laravel (or other backend languages like Python/Go) and deploying applications with Docker?Do you have hands-on experience using PHP/Laravel (or other backend languages like Python/Go) and deploying applications with Docker?","dropdown","Yes | No","Yes"
"What is your expected monthly gross salary for this role? (Please specify in numbers, e.g., 6000000)","text","","4500000"
"Do you speak English? *","radiobutton","Yes | No","No"
"How many years of Ruby on Rails experience do you have? *","text","","0"
"How many years of Production System experience do you have? *","text","","1"
"Apakah Anda bisa berbahasa English? *","radiobutton","Ya | Tidak","Tidak"
"Berapa tahun pengalaman Software quality assurance yang Anda miliki? *","text","","0"
"Berapa tahun pengalaman Lead QA Automation yang Anda miliki? *","text","","0"
"g-recaptcha-response","text","","Yes"
"Do you have experince implement automated testing using TestComplete ?","text","","No"
"Do you have experience with web automation tools using Playwright or Selenium?","text","","No"
"Do you have experience integrating automated tests into CI/CD pipelines (e.g., Jenkins, GitHub Actions)?","text","","No"
"How many years of Leading engineers or projects experience do you have?","text","","0"
"How many years of work experience do you have with SAP Products?","text","","0"
"How many years of work experience do you have with SAP ERP?","text","","0"
"Apakah Anda memiliki pengalaman sebagai Full Stack Engineer minimal 1–2 tahun?Apakah Anda memiliki pengalaman sebagai Full Stack Engineer minimal 1–2 tahun?","dropdown","Yes | No","Yes"
"Seberapa mahir kamu dengan keahlian berikut ini? - kubernates","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Apakah Anda memiliki pengalaman menggunakan Golang untuk pengembangan backend?Apakah Anda memiliki pengalaman menggunakan Golang untuk pengembangan backend?","dropdown","Yes | No","No"
"Apakah Anda memiliki pengalaman menggunakan React.JS untuk pengembangan frontend?Apakah Anda memiliki pengalaman menggunakan React.JS untuk pengembangan frontend?","dropdown","Yes | No","Yes"
"Seberapa mahir kamu dengan keahlian berikut ini? - Scripting","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Apakah Anda memiliki pengalaman menggunakan Next.JS untuk pengembangan frontend?Apakah Anda memiliki pengalaman menggunakan Next.JS untuk pengembangan frontend?","dropdown","Yes | No","Yes"
"Apakah Anda bersedia bekerja secara WFO di Perbankan, daerah Jakarta?Apakah Anda bersedia bekerja secara WFO di Perbankan, daerah Jakarta?","dropdown","Yes | No","No"
"Apakah Anda memiliki pengalaman menggunakan database seperti MySQL, SQL Server, atau PostgreSQL?Apakah Anda memiliki pengalaman menggunakan database seperti MySQL, SQL Server, atau PostgreSQL?","dropdown","Yes | No","Yes"
"Apakah Anda memiliki pengalaman menggunakan Python?Apakah Anda memiliki pengalaman menggunakan Python?","dropdown","Yes | No","Yes"
"Seberapa mahir kamu dengan keahlian berikut ini? - On Premise","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Bash","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Redhat","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Open Shift","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Arsitektur Solusi","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Jika lolos, apakah bisa join cepat ?Jika lolos, apakah bisa join cepat ?","dropdown","Yes | No","Yes"
"Seberapa mahir kamu dengan keahlian berikut ini? - Manajemen Proyek","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Manajemen Anggaran","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Koordinasi Proyek","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Microsoft Office","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Perencanaan Strategis","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Roblem Solving","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Manajemen Proyek TI","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - SDLC","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - It Core Banking","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Do you agree to work in Banking industry?","text","","Yes"
"Seberapa mahir kamu dengan keahlian berikut ini? - Project Implementation","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Trello","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Perencanaan Proyek","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Agile Project Management","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Manajemen Risiko","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Manajemen Tim","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Apakah anda lulusan (S1) jurusan Teknik Telekomunikasi, Teknik Elektro, Teknik Informatika, Ilmu Komputer, atau Teknik Industri?","text","","Tidak"
"Apakah anda lulusan D3 atau S1 dengan gelar kelulusan di bidang Teknik Telekomunikasi, Teknik Elektro, Teknik Informatika, Teknik Industri, atau Teknik Sipil?","text","","Tidak"
"Berapa tahun pengalaman kerja sebagai Scrum Master/PMO/role serupa?","text","","0"
"Ekspektasi gaji","text","","4500000"
"Seberapa mahir kamu dengan keahlian berikut ini? - Magento","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Recreational Facilities and Services","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"Apakah kamu punya dokumen/sertifikat dibawah ini yang masih valid dan berlaku? - Sertifikat Pengawas Operasional Pertama (POP)","radiobutton","Ya | Tidak","Tidak"
"Apakah kamu punya dokumen/sertifikat dibawah ini yang masih valid dan berlaku? - Sertifikat HACCP","radiobutton","Ya | Tidak","Tidak"
"Apakah kamu tinggal di Jakarta Timur pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"Seberapa mahir kamu dengan keahlian berikut ini? - AutoCAD","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - SketchUp","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Apakah anda berpengalaman di kontraktor interior ?","text","","Tidak"
"Apakah Anda bisa bergabung secepatnya? (maksimal 2 weeks notice)","text","","Ya, saya bisa bergabung secepatnya."
"Sebutkan IPK/ GPA Anda!","text","","3.71"
"How proficient are you in the following skill? - JavaScript","radiobutton","No Exp. | Basic | Intermediate | Advanced","Advanced"
"How proficient are you in the following skill? - Java","radiobutton","No Exp. | Basic | Intermediate | Advanced","No Exp."
"How proficient are you in the following skill? - Vue.js","radiobutton","No Exp. | Basic | Intermediate | Advanced","Intermediate"
"How proficient are you in the following skill? - Angular.js","radiobutton","No Exp. | Basic | Intermediate | Advanced","No Exp."
"How proficient are you in the following skill? - Next.Js","radiobutton","No Exp. | Basic | Intermediate | Advanced","Intermediate"
"How proficient are you in the following skill? - Go / Golang","radiobutton","No Exp. | Basic | Intermediate | Advanced","No Exp."
"How proficient are you in the following languages? - English","radiobutton","No | Conversational | Professional | Fluent-Native","Conversational"
"Apakah bersedia dengan sistem PKWT [Contract under Sigmatech]?","text","","Ya, saya bersedia dengan sistem PKWT (Contract under Sigmatech)."
"Do you have portfolio you can share? If so - please send them to maevyproject@gmail.com.Do you have portfolio you can share? If so - please send them to maevyproject@gmail.com.","dropdown","Yes | No","Yes"
"How many years' experience do you have as a VueJS Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a php developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have experience using Version Control Tool?","radiobutton","Yes | No","Yes"
"How many years of experience do you have in the IT Services Industry?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa lama waktu yang kamu butuhkan untuk memberi tahu perusahaanmu saat ini?","radiobutton","Tidak ada, saya siap bekerja segera | Kurang dari 1 bulan | 1 bulan | 2 bulan | Lebih dari 2 bulan","Tidak ada, saya siap bekerja segera"
"What is your level of proficiency in Bahasa Mandarin?What is your level of proficiency in Bahasa Mandarin?","dropdown","None | Conversational | Professional | Native or bilingual","None"
"What is your level of proficiency in Bahasa Inggris?What is your level of proficiency in Bahasa Inggris?","dropdown","None | Conversational | Professional | Native or bilingual","Conversational"
"How many years of work experience do you have with Pengajaran Bahasa Mandarin?","text","","0"
"What is your mode of transportation? (1. public transport / 2. motorcycle / 3. car)","text","","2. motorcycle"
"How many years' experience do you have as a Technical Lead?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have Project Delivery experience?","radiobutton","Ya | Tidak","Ya"
"Do you have Cloud Infrastructure Deployment experience?","radiobutton","Ya | Tidak","Tidak"
"Apakah kamu memiliki pengalaman menggunakan Laravel Framework?","radiobutton","Ya | Tidak","Ya"
"Do you have experience using Generative AI Tools?","radiobutton","Ya | Tidak","Tidak"
"Berapa tahun pengalaman kerjamu sebagai pengembang web?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Apakah kamu memiliki pengalaman technical writing? (mis. petunjuk penggunaan, manual produk untuk pengguna, dokumen spesifikasi teknis)","radiobutton","Ya | Tidak","Tidak"
"How many years experience in Internet Banking do you have?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Apakah kamu memiliki pengalaman menggunakan Java Spring Boot?","radiobutton","Ya | Tidak","Tidak"
"Apakah kamu memiliki pengalaman menggunakan C#.NET Programming Language?","radiobutton","Ya | Tidak","Tidak"
"Do you have Presentation Design experience?","radiobutton","Yes | No","No"
"Could you tell me about a project you're most proud of? Please walk me through what you built and why it stands out to you?","text","","A project I am most proud of is a full-stack web application built with Laravel, JavaScript, and a relational database. I developed the backend APIs, database integration, authentication flow, and responsive user interface, which stands out because it strengthened my ability to deliver a complete application from planning through implementation."
"Apakah kamu memiliki pengalaman dalam Search Engine Optimisation (SEO)?","radiobutton","Ya | Tidak","Tidak"
"Berapa tahun pengalaman kerjamu sebagai administrator proyek?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Apakah Anda memiliki pengalaman minimal 1–2 tahun sebagai Data Engineer?Apakah Anda memiliki pengalaman minimal 1–2 tahun sebagai Data Engineer?","dropdown","Yes | No","No"
"Apakah Anda memiliki pengalaman menggunakan Kubernetes untuk deployment atau orchestration workload data?Apakah Anda memiliki pengalaman menggunakan Kubernetes untuk deployment atau orchestration workload data?","dropdown","Yes | No","No"
"Apakah Anda memiliki pengalaman menggunakan Big Data tools seperti Spark, Hive, Impala, Kafka, atau Sqoop?Apakah Anda memiliki pengalaman menggunakan Big Data tools seperti Spark, Hive, Impala, Kafka, atau Sqoop?","dropdown","Yes | No","No"
"Apakah Anda memiliki pengalaman menggunakan Oracle, PostgreSQL, MySQL, atau Microsoft SQL?Apakah Anda memiliki pengalaman menggunakan Oracle, PostgreSQL, MySQL, atau Microsoft SQL?","dropdown","Yes | No","Yes"
"Do you have User Acceptance Testing experience?","radiobutton","Yes | No","No"
"Jika lolos, apakah membutuhkan 1 month notice?Jika lolos, apakah membutuhkan 1 month notice?","dropdown","Yes | No","No"
"Do you have ERP Implementation experience?","radiobutton","Yes | No","No"
"Berapa ekspektasi gaji yang Anda inginkan?","text","","4500000"
"Berapa Nominal terakhir Gaji Anda?","text","","Tidak disebutkan"
"Apakah bersedia full WFO Jakarta Area?","text","","Perlu dikonfirmasi"
"Apakah Anda dapat bergabung secara cepat /ASAP, atau jika belum berapa lama notice Anda?","text","","Dapat bergabung segera"
"Apakah bersedia bekerja di Area Jakarta Selatan (Sudirman/Rasuna Said)?","text","","Perlu dikonfirmasi"
"What is your current monthly salary? (Gross)","text","","Tidak disebutkan"
"What is your expected monthly salary? (Gross)","text","","4500000"
"Berapa tahun pengalaman kerjamu sebagai Pemimpin Proyek?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How much notice are you required to give your current employer?","radiobutton","None, I'm ready to go now | Less than 1 month | 1 month | 2 months | More than 2 months","None, I'm ready to go now"
"Berapa tahun pengalaman dalam penggunaan Spring Boot?","text","","0"
"Berapa tahun pengalaman dalam penggunaan React JS?","text","","1"
"Availability for joining? (Put in the total days.)","text","","0"
"Existing Salary (Net-Based).","text","","0"
"Expected Salary (Net-Based).","text","","4500000"
"Pernahkah kamu mendapatkan pekerjaan yang membutuhkan pemahaman mendalam mengenai siklus hidup pengembangan software (software development lifecycle)?","radiobutton","Ya | Tidak","Ya"
"Apakah kamu memiliki pengalaman menggunakan SAP Sistem?","radiobutton","Ya | Tidak","Tidak"
"Apakah kamu memiliki pengalaman Integrasi API?","radiobutton","Ya | Tidak","Ya"
"How many years' experience do you have in an Information Technology Support Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Risk Management Assistant?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have hands-on experience developing RESTful APIs and microservices architecture?Do you have hands-on experience developing RESTful APIs and microservices architecture?","dropdown","Yes | No","Yes"
"Do you have experience deploying or managing applications using JBoss and/or Kubernetes?Do you have experience deploying or managing applications using JBoss and/or Kubernetes?","dropdown","Yes | No","No"
"Do you have hands-on experience with IBM BAW and/or IBM ODM?Do you have hands-on experience with IBM BAW and/or IBM ODM?","dropdown","Yes | No","No"
"How many years of hands-on experience do you have in Java backend development using Spring Boot and/or Quarkus?","text","","0"
"Salary Expectation","text","","4500000"
"How many years' experience do you have as a Golang Full Stack Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have Debugging experience?","radiobutton","Ya | Tidak","Ya"
"Apakah kamu memiliki Gelar S1?","radiobutton","Ya | Tidak","Tidak"
"Do you have Cross Functional Team Collaboration experience?","radiobutton","Yes | No","No"
"Do you have experience using Database Management Systems?","radiobutton","Yes | No","Yes"
"Do you have a valid driver's license?Do you have a valid driver's license? Required","radiobutton","Yes | No","No"
"Do you have professional experience working with Event-Driven Architecture?Do you have professional experience working with Event-Driven Architecture?","dropdown","Yes | No","No"
"How many yours of Backend Engineer experience do you currently have?","text","","1"
"How many years of work experience do you have with Microservice Architecture?","text","","0"
"How many years of work experience do you have with MySQL, MongoDB?","text","","1"
"Are you willing to undergo a BI Checking / SLIK OJK verification process if required for employment or project purposes?Are you willing to undergo a BI Checking / SLIK OJK verification process if required for employment or project purposes?","dropdown","Yes | No","Yes"
"Kirim link 1–2 project yang pernah kamu buat. Jelaskan singkat: apa yang kamu buat sendiri dan masalah paling sulit yang kamu selesaikan.","text","","https://github.com/itzluthfi — Saya membangun aplikasi web menggunakan Laravel, React, dan database seperti MySQL atau MongoDB. Saya mengembangkan fitur utama, integrasi API, autentikasi, serta memperbaiki masalah integrasi dan validasi data."
"Ceritakan 1 contoh saat kamu harus menggunakan teknologi yang belum pernah kamu pakai. Bagaimana kamu mempelajarinya dan menyelesaikan task tersebut?","text","","Saya pernah menggunakan teknologi yang belum familiar dengan mempelajari dokumentasi resmi, membuat proof of concept kecil, lalu mengujinya secara bertahap. Setelah memahami konsep dan pola penggunaannya, saya menerapkannya pada task serta melakukan debugging sampai hasilnya sesuai kebutuhan."
"Bagaimana kamu menggunakan AI saat coding? Berikan 1 contoh saat hasil AI salah atau tidak sesuai, dan bagaimana kamu mengetahui serta memperbaikinya.","text","","Saya menggunakan AI untuk membantu memahami dokumentasi, mencari alternatif implementasi, dan membuat draft kode. Pernah hasil AI menggunakan API yang sudah tidak sesuai versi terbaru; saya mengetahuinya dari error saat pengujian dan dokumentasi resmi, lalu memperbaikinya dengan menyesuaikan parameter serta alur implementasi."
"Gaji Anda saat ini","text","","Tidak disebutkan"
"How many years of Marketing experience do you currently have?","text","","0"
"How many years of Retail Apparel and Fashion experience do you currently have?","text","","0"
"How many years of work experience do you have with Campaign Concepts?","text","","0"
"How many years of Retail experience do you currently have?","text","","0"
"How many years of work experience do you have with Online Marketplace?","text","","0"
"How many years of work experience do you have with Customer Relationship Management (CRM)?","text","","0"
"Apakah terbiasa melakukan raw query untuk penarikan data dari database?","text","","Ya"
"How many years' experience do you have as an Innovation Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Apakah kamu bersedia menjalani pemeriksaan latar belakang prakerja?","radiobutton","Ya | Tidak","Ya"
"How many years of work experience do you have with Tracker?","text","","0"
"How many years of work experience do you have with Readiness?","text","","0"
"Seberapa mahir kamu dengan keahlian berikut ini? - Analytical Skills","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"What is your current net salary?","text","","Tidak disebutkan"
"What is your expected net salary?","text","","4500000"
"What is your level of proficiency in Indonesian?What is your level of proficiency in Indonesian?","dropdown","None | Conversational | Professional | Native or bilingual","Native or bilingual"
"How many years' experience do you have as a User Experience and Interface Designer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman Anda sebagai Front End?","text","","1"
"This role is posted to Kuala Lumpur after paid training in Jakarta (living costs covered), with irregular hours and multi-day hospital stays. Can you commit to this?This role is posted to Kuala Lumpur after paid training in Jakarta (living costs covered), with irregular hours and multi-day hospital stays. Can you commit to this?","dropdown","Yes | No","No"
"Berapa tahun pengalaman Anda dalam menggunakan React JS?","text","","1"
"Berapa tahun pengalaman Anda dalam memimpin tim?","text","","0"
"Do you have experience with Relational Database Management Systems (RDBMS)?","radiobutton","Yes | No","Yes"
"Do you have Agile Software Development experience?","radiobutton","Yes | No","No"
"Apakah Anda memiliki pengalaman dalam project Credit Scoring dan/atau Underwriting?Apakah Anda memiliki pengalaman dalam project Credit Scoring dan/atau Underwriting?","dropdown","Yes | No","No"
"Apakah Anda memiliki pengalaman mengembangkan model Credit Scoring?Apakah Anda memiliki pengalaman mengembangkan model Credit Scoring?","dropdown","Yes | No","No"
"Apakah kamu memiliki pengalaman menggunakan Agentic AI?Apakah kamu memiliki pengalaman menggunakan Agentic AI?","dropdown","Yes | No","No"
"Jika lolos, apakah butuh 1 month notice?Jika lolos, apakah butuh 1 month notice?","dropdown","Yes | No","No"
"Apakah bersedia untuk WFO di Jakarta?Apakah bersedia untuk WFO di Jakarta?","dropdown","Yes | No","No"
"Berapa lama total pengalaman Anda sebagai Data Scientist / Machine Learning Engineer?","text","","0"
"Berapa ekspektasi gaji bulanan Anda?","text","","4500000"
"Seberapa mahir Anda menggunakan Python untuk Machine Learning?","text","","Dasar"
"If you're shortlisted, are you open to completing a short assignment to help us better understand your ecommerce skills and approach?If you're shortlisted, are you open to completing a short assignment to help us better understand your ecommerce skills and approach?","dropdown","Yes | No","Yes"
"This is an individual contributor role for now. Are you ok with this?This is an individual contributor role for now. Are you ok with this?","dropdown","Yes | No","Yes"
"What’s your current and expected salary in IDR?","text","","Saat ini: Tidak disebutkan; ekspektasi: 4500000"
"How many years of store operations (Shopee/Lazada) experience do you have?","text","","0"
"Apakah kamu berpengalaman bekerja dalam scrum agile team?","radiobutton","Ya | Tidak","Tidak"
"notice period","text","","Immediately"
"Apakah bersedia bekerja di Industri Banking/Financial/Multi-Financial/Insurance Company?","text","","Ya"
"Apakah Anda bersedia bekerja full WFO dan 3 bulan kontrak (extendable)?","text","","Ya"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengembangan iOS","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
